YEAR,FILM,FILM_ID,COUNTRY,COUNTRY_ID,VOTER,VOTER_ID,DIRECTOR,DIRECTOR_ID,GENDER,GENDER_ID,ROLE,ROLE_ID
,,,France,07f48d2c-dcca-4fbd-95f2-51d656a65ddb,Olivier Père,235,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Julio Pérez Perucha,449,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Domino Renee Perez,654,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Gilberto Pérez,574,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Cuba,00c57f5b-9372-4969-8384-7a4e04838636,Gilberto Pérez,574,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Xavier Pérez,9,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,V.F. Perkins,33,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Jacob Perlin,521,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Chris Petit,911,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Serbia,47b74c8d-8f51-4c2e-bc3c-aaa4e57e2b51,Vladan Petkovic,20,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Italy,e8fa9456-5374-434d-adda-c2b5bbc60823,Alberto Pezzotta,834,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Austria,ef3a7845-ea2c-4ead-87d1-9ee1cb260162,Norbert Pfaffenbichler,1094,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,David Phelps,675,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,France,07f48d2c-dcca-4fbd-95f2-51d656a65ddb,Nicolas Philibert,1092,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Canada,3ad0f5ec-0c0d-496c-887d-3c711f42a067,Andréa Picard,816,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,France,07f48d2c-dcca-4fbd-95f2-51d656a65ddb,Sylvie Pierre,71,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Mark Pilkington,342,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Matías Piñeiro,1060,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Nick Pinkerton,256,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Jesús Piquero,487,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,France,07f48d2c-dcca-4fbd-95f2-51d656a65ddb,Martial Pisani,334,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Italy,e8fa9456-5374-434d-adda-c2b5bbc60823,Francesco Pitassio,602,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Russia,1b12f75b-7973-47d7-93e9-20a7f8443e24,Andrei Plakhov,812,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Amos Poe,862,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Croatia,e4b29291-8372-4641-a072-a34c92f54373,Nenad Polimac,261,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Robert Polito,148,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Ventura Pons,1191,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Slovenia,e30712c6-cf9b-4012-9220-0ab3fbb01f38,Simon Popek,97,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Romania,c3d1a870-8176-4301-977b-fa80d0af92b4,Constantin Popescu,916,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Russia,1b12f75b-7973-47d7-93e9-20a7f8443e24,Alexei Popogrebsky,857,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Javier Porta Fouz,497,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Pere Portabella,1118,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Richard Porton,160,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Catherine Portuges,734,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Romania,c3d1a870-8176-4301-977b-fa80d0af92b4,Corneliu Porumboiu,917,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,John Powers,476,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Slovenia,e30712c6-cf9b-4012-9220-0ab3fbb01f38,Andrew Šprah,807,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Vic Pratt,27,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Archivist,c2c95170-308f-4a46-b20a-32822870fa50
,,,Poland,c74b8a81-a720-45e7-b73e-07b2c3bb3c85,Miroslaw Przylipiak,281,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,Lithuania,914e7e3d-7158-490a-88bc-208d7d6519d9,Edvinas Puksta,645,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Andrew Pulver,808,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Bosnia and Herzegovina,18dae5bf-59b2-48e4-bd01-5ed4d5f6d328,Mirsad Purivatra,280,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Sri Lanka,5720d7fe-266c-4775-a50d-e50b7a1e49a4,Sanjeewa Pushpakumara,1159,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Canada,3ad0f5ec-0c0d-496c-887d-3c711f42a067,James Quandt,514,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,Italy,e8fa9456-5374-434d-adda-c2b5bbc60823,Leonardo Quaresima,398,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Leonard Quart,400,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Ángel Quintana Morraja,801,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Argentina,6d2d9c64-a820-4033-aa1a-52d6b69ad956,Quintín,181,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Antonia Quirke,790,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,William Raban,1199,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Tajikistan,07ad1346-1457-43d8-bd54-de39c2dd5668,Sadullo Rakhimov,127,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Naman Ramachandran,270,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,India,d212face-2dbf-454e-b832-9e91c88618ce,Naman Ramachandran,270,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,India,d212face-2dbf-454e-b832-9e91c88618ce,Nandini Ramnath,268,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Jed Rapfogel,491,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Nicolas Rapold,250,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,India,d212face-2dbf-454e-b832-9e91c88618ce,Raqs Media Collective,1138,,,Unspecified,8329a71b-47a0-47d0-a571-23849ba25243,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Thailand,7fb162c9-25e1-4ab3-ba02-3741d2c8623c,Pen-Ek Ratanaruang ,1117,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,Tony Rayns,40,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Javier Rebollo,985,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,José Luis Rebordinos,464,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Andy Rector,802,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Philippines,d2e5c46e-3321-4171-b878-c43a9bacc013,Raymond Red,1141,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,Spain,78549c96-7aa5-4a18-9778-21e42d4047a6,Carlos Reviriego,742,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Critic,8d7a5d46-a4b0-4b90-97e3-a7dac1b986be
,,,Mexico,32966e58-adac-4596-b021-8daa34462999,Carlos Reygadas,905,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Director,2c9720aa-8afb-4799-a836-e9a6a463e355
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,Berenice Reynaud,766,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Programmer,62113a53-d867-4086-b2ce-14b59cca8e65
,,,UK,5c5eadcb-3adf-4f84-8763-2574f37cd16d,John David Rhodes,481,,,Male,790d9f39-1b04-46b6-b219-de70134e291f,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
,,,US,a0b3290d-73bf-4920-b5ee-2c7bec6098a4,B Ruby Rich,777,,,Female,ca894567-3c6f-461d-a696-c8f5ed4a3553,Academic,0d2babe6-4213-4a9f-9bae-ad09473af49c
